가맹점구분번호,가맹점주소,가맹점명,가맹점지역,업종,상권,가맹점 운영개월수 구간,매출금액 구간,매출건수 구간,유니크 고객 수 구간,객단가 구간,취소율 구간,배달매출금액 비율,동일 업종 매출금액 비율,동일 업종 매출건수 비율,동일 업종 내 매출 순위 비율,동일 상권 내 매출 순위 비율,남성 20대이하 고객 비중,남성 30대 고객 비중,남성 40대 고객 비중,남성 50대 고객 비중,남성 60대이상 고객 비중,여성 20대이하 고객 비중,여성 30대 고객 비중,여성 40대 고객 비중,여성 50대 고객 비중,여성 60대이상 고객 비중,재방문 고객 비중,신규 고객 비중,거주 이용 고객 비율,직장 이용 고객 비율,유동인구 이용 고객 비율
000F03E44A,서울특별시 성동구 왕십리로4가길 9,육육**,서울 성동구,중식-딤섬/중식만두,뚝섬,4,6,5,5,5,3,17.320833333333333,1.6833333333333333,2.470833333333333,92.65,70.9375,8.9043375,26.152695833333333,2.69355,16.569016666666666,6.017245833333333,4.462329166666667,9.472304166666667,1.9231166666666668,20.18515,3.611920833333333,3.0454166666666667,18.60375,5.383333333333334,9.55,51.733333333333334
002816BA73,서울 성동구 청계천로10나길 78,자갈***********,서울 성동구,요리주점,마장동,2,3,4,4,2,3,0.0,116.42916666666666,53.708333333333336,17.316666666666666,21.341666666666665,6.931045833333333,22.305870833333334,19.773691666666664,21.007170833333333,10.850391666666667,1.6689541666666665,5.273295833333333,4.667975,4.9511625,2.562108333333333,11.214166666666666,7.662916666666667,17.620833333333334,14.370833333333334,68.00833333333334
003473B465,서울특별시 성동구 서울숲길 55,바틀****************,서울 성동구,백반/가정식,뚝섬,3,6,6,6,5,5,0.0,1.0625,0.5458333333333333,86.18333333333334,73.84583333333333,3.1496625,32.155474999999996,26.7810125,0.2490833333333333,4.177595833333333,0.8378375,2.090358333333333,1.1564875,0.10508333333333333,0.14323750000000002,24.355416666666667,1.2774999999999999,0.0,0.0,16.666666666666668
0041E4E5AE,서울특별시 성동구 용답중앙15길 1,엄마****,서울 성동구,한식-찌개/전골,답십리,3,2,2,2,4,2,7.683333333333334,211.2,424.5333333333333,7.5625,8.5,14.564316666666665,14.390033333333333,13.372583333333333,18.12216666666667,10.576954166666667,5.95235,5.8683000000000005,5.464916666666666,7.402833333333334,4.310545833333333,31.744999999999997,6.740833333333333,28.220833333333335,14.25,57.545833333333334
0050D68B18,서울특별시 성동구 아차산로 87,70**************,서울 성동구,룸살롱/단란주점,성수,5,2,4,4,1,2,0.0,395.15,209.17,10.695,21.165,0.0,4.34399,18.81399,36.353455,13.601655000000001,0.0,1.66601,5.99101,10.886545000000002,3.363345,26.5935,15.683,22.965,18.205,53.82
00646B6673,서울특별시 성동구 고산자로 164,봉밀******,서울 성동구,한식-냉면,왕십리,4,4,3,3,3,2,72.225,82.00833333333334,91.74166666666666,30.491666666666667,0.0,3.399633333333333,13.938979166666666,15.257425,11.346454166666668,6.431641666666667,3.2586999999999997,13.736020833333335,15.184241666666667,11.1952125,6.2266916666666665,22.062083333333334,9.367083333333333,62.887499999999996,4.416666666666667,32.69166666666666
0074C4990A,서울 성동구 마장동,대용**,서울 성동구,축산물,마장동,2,3,4,4,2,3,0.0,182.1375,39.40833333333333,9.754166666666666,10.804166666666667,1.9910541666666666,3.8704833333333335,6.319383333333333,11.831754166666666,22.208775,2.346445833333333,4.467016666666667,7.355616666666666,13.739079166666667,25.862058333333334,23.72125,6.600416666666667,15.0,3.125,81.88333333333334
007BE37BA2,서울특별시 성동구 연무장7가길 2,토리******,서울 성동구,한식-단품요리일반,성수,4,2,3,3,3,2,0.0,213.61666666666667,149.3875,7.2875000000000005,9.65,20.568075,10.243333333333332,2.948208333333333,2.1910125000000003,0.4855916666666667,36.77359166666667,17.0275,5.151791666666666,3.8214875000000004,0.806075,4.492916666666667,7.390000000000001,9.320833333333333,8.462499999999999,82.23333333333333
00803E9174,서울특별시 성동구 성수이로 18,포도****,서울 성동구,양식,성수,6,4,5,5,2,2,0.0,43.872727272727275,22.2,59.518181818181816,48.38181818181818,8.811345454545455,7.312309090909091,2.1440727272727274,0.9954909090909091,0.22810909090909093,32.00683636363637,27.38769090909091,7.619563636363637,3.4135999999999997,0.9900727272727273,8.286363636363637,28.633636363636363,18.09090909090909,3.5272727272727273,69.3
00A2CF886A,서울 성동구 왕십리로22길 6,별*,서울 성동구,일반 유흥주점,왕십리,3,3,5,5,1,2,0.0,117.38749999999999,110.94166666666666,16.054166666666667,33.32083333333333,13.855875000000001,30.156120833333333,21.886895833333334,14.958129166666668,5.285033333333334,2.3274583333333334,4.8897125,3.4214375,2.3377041666666667,0.8774666666666666,11.040833333333333,8.865,19.612499999999997,6.308333333333334,74.07083333333334
00BC189C4B,서울  성동구  성수1가2동,땅끝******,서울 성동구,한식-해물/생선,뚝섬,1,3,4,4,2,3,0.22083333333333333,111.4,59.38333333333334,20.637500000000003,16.225,6.844854166666667,20.919595833333332,13.717558333333333,15.135091666666666,14.903579166666667,2.680145833333333,8.342904166666667,5.482441666666666,6.035741666666667,5.9380875,19.852500000000003,7.074999999999999,41.92916666666667,22.791666666666668,35.27916666666667
00CEAAD71A,서울 성동구 왕십리로24나길 6.,근이***,서울 성동구,포장마차,왕십리,3,4,4,4,3,3,0.0,45.650000000000006,40.24166666666667,35.520833333333336,42.7375,9.477808333333334,18.239720833333333,15.9276125,24.012295833333333,9.1269625,2.909691666666667,5.464445833333333,4.747387499999999,7.291870833333332,2.814704166666667,15.866666666666667,7.998749999999999,33.041666666666664,15.554166666666667,51.420833333333334
00DA1813DE,서울특별시 성동구 독서당로60길 2,망고***,서울 성동구,청과물,금남시장,4,6,5,5,5,3,0.0,0.6791666666666667,1.6375000000000002,76.61250000000001,0.0,4.056316666666667,4.6210125,8.6512375,5.1023875,19.068762500000002,5.7770166666666665,6.483154166666667,11.627929166666668,8.9226125,25.664570833333332,10.399166666666666,5.5775,0.0,0.0,58.333333333333336
00F54829E1,서울특별시 성동구 왕십리로 410,카페***,서울 성동구,카페,왕십리,5,4,2,2,5,5,0.0,100.70833333333333,98.67500000000001,23.341666666666665,0.0,9.803041666666665,13.641145833333333,8.644204166666666,5.977,2.6655041666666666,14.342791666666667,19.821354166666666,12.580795833333333,8.698,3.830329166666667,32.111666666666665,7.552916666666666,40.43333333333333,6.891666666666667,52.68333333333333
00F733C995,서울특별시 성동구 아차산로 126,성수*************,서울 성동구,한식-육류/고기,성수,4,1,2,2,3,2,0.0,405.84583333333336,320.34583333333336,2.470833333333333,4.879166666666666,15.774595833333333,21.236216666666664,12.0448375,7.732354166666667,3.7416958333333334,10.254570833333334,13.801283333333334,7.871829166666667,5.0551458333333334,2.4749708333333333,36.580416666666665,5.930833333333333,10.366666666666667,48.40833333333333,41.233333333333334
00FDB35E9C,서울특별시 성동구 마조로15길 19,작은**,서울 성동구,카페,한양대,3,4,3,3,5,2,19.545833333333334,42.412499999999994,38.4875,42.462500000000006,0.0,19.482025,13.704325,3.9556541666666667,3.910916666666667,1.4345416666666668,26.401308333333333,18.533175,5.352679166666666,5.28075,1.944625,35.025000000000006,6.6225,47.650000000000006,14.566666666666666,37.766666666666666
012A64A73B,서울특별시 성동구 마장로 319-1,인생**,서울 성동구,포장마차,마장동,3,3,4,4,3,1,0.17500000000000002,82.35416666666667,74.4625,21.716666666666665,0.0,11.371125,19.421554166666667,19.99375,16.364662499999998,4.921779166666667,4.3955416666666665,7.470112500000001,7.7645833333333325,6.389504166666667,1.9157208333333335,17.6175,6.93375,40.3125,10.5,49.17916666666667
014A6A2154,서울특별시 성동구 마장로 222,소양*,서울 성동구,백반/가정식,왕십리,5,5,5,5,3,1,0.0,3.88,3.56,79.98666666666666,73.61333333333333,2.500426666666667,0.88638,7.861086666666667,14.047246666666666,30.041279999999997,2.04624,0.3402866666666666,6.038913333333333,9.306086666666666,26.918719999999997,33.84733333333333,22.672666666666665,37.78,9.44,46.10666666666667
01670CF403,서울특별시 성동구 왕십리로 390,한스*******,서울 성동구,베이커리,왕십리,4,2,2,2,3,5,16.854166666666668,258.6041666666667,256.0,5.35,0.0,8.385754166666667,14.165629166666667,8.144158333333333,5.073441666666667,2.2769416666666666,13.714245833333333,23.063537500000002,13.247508333333334,8.239058333333334,3.6897250000000006,22.155,6.59,40.52916666666667,6.4375,53.01666666666667
016C67D6C6,서울특별시 성동구 상원10길 3,목*,서울 성동구,양식,뚝섬,6,4,4,4,3,1,0.0,60.724999999999994,45.325,56.762499999999996,48.8625,9.778825,13.9135375,4.1778125,3.084875,0.895675,29.633675,24.3864625,7.2471875,5.377625,1.541825,10.87375,44.465,32.325,22.0625,45.6
01744C5370,서울특별시 성동구 연무장5길 9-16,성수*****,서울 성동구,한식-단품요리일반,성수,4,2,2,2,3,2,4.925000000000001,300.04999999999995,339.59583333333336,3.779166666666667,6.470833333333333,20.326070833333333,11.312862500000001,4.6982625,3.804808333333333,0.91135,29.186429166666667,16.2496375,6.743404166666667,5.466025,1.3094833333333333,8.656666666666666,6.699583333333333,8.445833333333333,17.120833333333334,74.42916666666666
0174C56C09,서울 성동구 아차산로11길 26.,햄찌*********,서울 성동구,식료품,성수,4,4,4,4,4,3,0.0,94.32916666666667,76.07916666666667,30.0,0.0,9.923941666666666,17.57924583333333,13.934920833333333,9.215454166666667,2.9642541666666666,5.451058333333333,9.749920833333332,7.7359124999999995,5.1137125,1.6607458333333334,22.506666666666668,13.522083333333335,8.004166666666666,38.900000000000006,28.095833333333335
018DD7E495,서울 성동구 독서당로 296-8,동원*,서울 성동구,중식당,금남시장,3,4,3,3,4,2,0.0,42.875,63.0625,47.2,30.5,5.082408333333333,12.386770833333333,17.506441666666667,21.64323333333333,15.414587500000001,1.963425,4.813229166666667,6.801891666666666,8.373433333333333,6.0145791666666675,29.059583333333332,7.064166666666667,56.81666666666667,9.8125,29.20416666666667
019E31E4C6,서울특별시 성동구 광나루로4길 4-1,엔엠*,서울 성동구,양식,성수,4,4,4,4,4,1,0.0,18.745833333333334,51.59583333333333,46.708333333333336,37.82083333333333,11.331320833333333,3.499241666666667,1.619275,1.4273125,0.2811625,51.768679166666665,15.417425,7.030725,6.5351875,1.1146708333333333,7.081250000000001,6.361666666666666,7.191666666666666,4.291666666666667,88.52083333333333
01AAD3CFFA,서울 성동구 행당동,행당**,서울 성동구,식료품,왕십리,3,5,4,4,5,1,0.0,37.8125,58.50416666666667,44.849999999999994,65.57083333333334,12.58085,15.350870833333333,18.6154,27.956200000000003,15.8339125,1.3483166666666666,1.5907958333333334,1.9471,3.072966666666667,1.7077541666666667,27.640833333333333,7.060416666666667,46.079166666666666,15.808333333333334,38.141666666666666
01AB37892D,서울특별시 성동구 고산자로24길 11-1,구공**,서울 성동구,축산물,마장동,4,6,6,6,5,5,0.0,34.3,1.55,37.78333333333333,48.95,17.075262499999997,15.1082125,0.0,2.9212166666666666,7.077345833333333,7.703904166666667,35.99595416666667,0.0,4.503783333333334,9.576820833333334,15.48625,7.083333333333333,4.166666666666667,0.0,4.166666666666667
01B82F195A,서울 성동구 독서당로 296-1.,스몰**,서울 성동구,호프/맥주,금남시장,2,5,5,5,3,1,0.0,14.508333333333333,14.966666666666665,67.92500000000001,53.69166666666667,8.699445833333334,11.6888625,22.298845833333335,20.632445833333335,5.5581125,4.0963875000000005,5.2861375,9.884487499999999,9.346720833333332,2.5127208333333333,20.289583333333333,5.554583333333333,55.55416666666667,21.870833333333334,22.575
01CCBE28E0,서울특별시 성동구 행당로 133,워니***,서울 성동구,양식,왕십리,3,4,5,5,3,1,85.5,21.895833333333332,20.637500000000003,51.733333333333334,52.6125,13.509975,23.788333333333334,18.1451625,14.890483333333334,6.534225,4.090025000000001,7.0825,5.525670833333333,4.476183333333333,1.9449416666666666,27.38791666666667,5.733333333333333,19.441666666666666,23.991666666666664,56.587500000000006
01DB89157C,서울특별시 성동구 마조로 30,프랭********,서울 성동구,햄버거,한양대,4,2,1,1,4,2,28.454166666666666,113.98333333333332,95.4125,14.450000000000001,20.791666666666668,36.731629166666664,9.215541666666667,5.3226375,7.5912500000000005,2.146716666666667,23.4725375,5.896958333333334,3.4023625,4.85875,1.3741166666666667,29.606666666666666,6.244583333333334,43.166666666666664,6.916666666666667,49.90416666666667
01EBAA3D0F,서울특별시 성동구 왕십리로8길 15,샐러****************,서울 성동구,샌드위치/토스트,뚝섬,4,4,3,4,4,2,3.5999999999999996,37.900000000000006,86.31666666666666,39.625,40.166666666666664,10.892775,11.017204166666666,5.728458333333333,3.291983333333333,0.9547041666666666,23.778058333333334,23.6369625,11.709041666666668,6.845516666666667,2.1161291666666666,30.733333333333334,6.2058333333333335,14.637499999999998,40.3125,45.025000000000006
01EDD97C21,서울특별시 성동구 자동차시장1길 39,일카*,서울 성동구,커피전문점,장한평자동차,3,4,2,3,5,2,8.899999999999999,100.60416666666667,83.70416666666667,19.15,13.991666666666667,14.500316666666667,22.9746,14.1545875,10.6579625,5.474091666666666,6.8538499999999996,10.942066666666667,6.741245833333334,5.083704166666667,2.6342416666666666,36.65208333333333,6.16125,15.483333333333333,29.529166666666665,54.979166666666664
01F74A3D59,서울 성동구 성덕정17길 8-1,영계*******,서울 성동구,치킨,성수,3,4,4,4,3,1,11.408333333333333,75.75833333333334,69.19583333333334,35.625,37.479166666666664,10.523970833333333,19.23176666666667,14.947808333333333,17.691833333333335,10.797904166666667,3.988529166666667,7.001566666666666,5.323025,6.6081666666666665,3.8604291666666666,21.72625,7.5995833333333325,41.97083333333333,11.166666666666666,46.86666666666667
01FD0FCC3D,서울특별시 성동구 상원길 49,그리*****,서울 성동구,카페,뚝섬,6,4,3,3,4,4,27.014285714285716,91.57142857142857,153.0857142857143,41.457142857142856,40.392857142857146,7.771414285714286,6.907857142857143,1.5436857142857143,1.489257142857143,0.7636499999999999,38.221442857142854,27.877857142857145,6.1706,6.103600000000001,3.13635,24.078571428571426,28.685000000000002,19.59285714285714,35.18571428571429,45.207142857142856
01FDC9FAEA,서울특별시 성동구 성덕정17길 4,성수**,서울 성동구,포장마차,성수,6,4,4,4,3,1,0.0,36.56428571428572,41.77142857142857,50.33571428571428,44.41428571428572,13.674114285714285,19.775742857142856,9.870957142857142,7.072492857142857,9.731014285714286,9.204457142857143,12.75997142857143,6.5719,4.713221428571429,6.633271428571429,13.773571428571428,22.50857142857143,38.607142857142854,10.528571428571428,50.885714285714286
02080D3457,서울특별시 성동구 금호산2길 21-1,앂.**************,서울 성동구,양식,금남시장,5,4,4,4,2,1,0.0,46.400000000000006,22.579166666666666,36.84583333333333,28.770833333333332,10.372204166666666,26.1983875,9.754975,4.848529166666667,0.5953791666666667,9.340295833333334,24.230779166666665,9.382525,4.7014708333333335,0.5879541666666667,7.823333333333333,9.392083333333334,33.525000000000006,2.795833333333333,63.699999999999996
022FF198C7,서울 성동구 용답19길 16-1,후루***,서울 성동구,한식-국수/만두,답십리,2,4,4,3,4,1,0.0,31.891666666666666,74.38749999999999,44.44583333333333,40.24583333333333,14.876524999999999,11.143570833333333,10.108391666666668,15.799862500000001,10.209066666666667,9.031808333333334,6.748095833333334,6.179108333333334,9.7001375,6.203433333333333,24.200000000000003,6.782916666666667,33.724999999999994,12.399999999999999,53.8625
023652A43E,서울특별시 성동구 성덕정17길 9,은빛******,서울 성동구,한식-해물/생선,성수,3,2,3,2,3,1,2.8791666666666664,206.5125,192.29166666666666,8.516666666666667,12.729166666666666,5.643904166666667,13.209854166666666,12.395187499999999,16.081979166666667,13.464720833333335,3.6352625,8.5193125,7.992312500000001,10.376354166666665,8.681112500000001,31.188333333333333,6.675833333333333,32.56666666666667,28.62916666666667,38.775000000000006
02377784A1,서울특별시 성동구 마장로31길 40,한우**,서울 성동구,축산물,마장동,3,3,5,4,1,2,0.0,105.33333333333333,16.266666666666666,17.516666666666666,18.75,4.786216666666666,18.7708625,13.699841666666666,20.655104166666668,14.967858333333332,1.8137833333333333,6.9541375,5.045991666666667,7.657395833333333,5.644641666666667,9.132083333333334,7.0495833333333335,12.291666666666666,4.5,83.225
